"","PRODUCT_NAME","Product_Number","Model_Name","Type","F_Value_Limit"
"1","DELVAC MX 15W40","44104","MX4739.MD","TBN 4739",3
"2","MOBIL SHC 630","60295","SHCTAN.MD","TAN",3
"3","MOBIL SHC 632","60298","SHCTAN.MD","TAN",3
"4","MOBIL SHC 636","60299","SHCTAN.MD","TAN",3
"5","MOBIL SHC 634","60291","SHCTAN.MD","TAN",3
"6","MOBIL SHC 624","60292","SHCTAN.MD","TAN",3
"7","MOBIL SHC 625","60343","SHCTAN.MD","TAN",3
"8","MOBIL SHC 626","60293","SHCTAN.MD","TAN",3
"9","MOBIL SHC 627","60301","SHCTAN.MD","TAN",3
"10","MOBIL SHC 629","60294","SHCTAN.MD","TAN",3
"11","PEGASUS 805","60246","P805TAN.MD","TAN",3
"12","DTE HEAVY MEDIUM","60016","DTE724BO.MD","TAN",3
"13","MOBIL DTE 724","60008","DTE724BO.MD","TAN",3
"14","MOBIL DTE 798","60012","DTE724BO.MD","TAN",3
"15","MOBIL DTE 797","60011","DTE724BO.MD","TAN",3
"16","TERESSTIC GT 32","60436","TER32BO.MD","TAN",3
"17","ESSO TERESSTIC 68","90444","TER32BO.MD","TAN",3
"18","ESSO TERESSTIC 46","90443","TER32BO.MD","TAN",3
"19","ESSO TERESSTIC 32","90442","TER32BO.MD","TAN",3
"20","ESSO TERESSTICGT32","90436","TER32BO.MD","TAN",3
"21","EXXON TERESSTIC 32","60442","TER32BO.MD","TAN",3
"22","EXXON TERESSTIC 46","60443","TER32BO.MD","TAN",3
"23","EXXON TERESSTIC 68","60444","TER32BO.MD","TAN",3
"24","MOBIL DELVAC 1350","44074","D1350BO.MD","TBN 4739",3
"25","DEL SYN GO 80W-140","51170","DSGO8BO.MD","TAN",4
"26","ESSOLUB XT5 15W-40","44336","EXT5BO.MD","TBN 4739",3
"27","DELVAC MX ESP 1540","44465","MXESPBO.MD","TBN 4739",3
"28","DELVAC 1 5W-40","44111","D1BO.MD","TBN 4739",3
"29","PEGASUS 1005","60699","P1005BO.MD","TAN",3
"30","MOBILGARD 450 NC","60317","MG450BO.MD","TBN 4739",4.80000019073486
"31","MOBILGARD M430","60507","MGM430.MD","TBN 2896",3
"32","DELVAC 1 ESP 5W-40","44461","D1ESPBO.MD","TBN 4739",3
"33","PEGASUS 805","60246","P805.MD","TBN 2896",3
"34","PEGASUS 1005","60699","P1005TBN.MD","TBN 2896",3
"35","MOBIL SHC 639","60290","SHC639.MD","TAN",3
"36","DELVAC SYN ATF","52036","SYNATFAN.MD","TAN",3
"37","DEL SYN GR OIL7590","51171","DSYNGO7.MD","TAN",3
"38","MOBIL DTE 832","60009","DTE832-4.MD","TAN",3
"39","RARUS SHC 1025","60634","RARUS1.MD","TAN",3
"40","RARUS SHC 1024","60633","RARUS1.MD","TAN",3
"41","RARUS SHC 1026","60635","RARUS1.MD","TAN",3
"42","DELVAC MX 15W40","44104","MX2896.MD","TBN 2896",3
"43","MOBILGEAR SHC 680","61095","MGSHC680.MD","TAN",3
"44","DIOL 9 RD 40","44497","DIOLTBN7.MD","TBN 4739",3
"45","MOBIL DELVAC 1340","44073","D1340BN7.MD","TBN 4739",3
"46","MOBILDELVAC1LE5W30","44459","44459T47.MD","TBN 4739",3
"47","MOBILGARD M330","60506","DACNEWED.MD","DAC",3
"48","MOBILGARD M430","60507","DACNEWED.MD","DAC",3
"49","MOBILGARD M440","60509","DACNEWED.MD","DAC",3
"50","MOBILGARD M50","60510","DACNEWED.MD","DAC",3
"51","MOB DEL SYN TRAN50","51160","TRAN50.MD","TAN",3
"52","DEL1300S 15W40 CJ4","44069","1300BO47.MD","TBN 4739",3
"53","MOBILGARD 412","60248","MG412BO2.MD","TBN 2896",3
"54","MOBILGARD M440","60509","MG440.MD","TBN 2896",3
"55","PEGASUS 710","60571","P710TAN.MD","TAN",3
"56","MOBIL 1 5W30","48111","5W30BO47.MD","TBN 4739",3
"57","EXXONBUSGARD 15W40","41019","BUSG15BO.MD","TBN 4739",3
"58","PEG 805 ULTRA","62523","P805U_AN.MD","TAN",3
"59","PEG 805 ULTRA","62523","P805U_BN.MD","TBN 2896",3
"60","ENGINE OIL 15W-40","94120","E1540_BN.MD","TBN 4739",3
"61","MOBIL SYN GO 75W90","51084","SYNGO_AN.MD","TAN",3
"62","DELVACM 1540 SD V3","40074","SDV3_BN.MD","TBN 4739",3
